"filename", "language", "JavaScript", "JSON with Comments", "TypeScript", "TypeScript JSX", "Prisma", "JSON", "CSS", "Markdown", "YAML", "comment", "blank", "total"
"d:\Systemowe\Pulpit\Portfolio\learney\.eslintrc.json", "JSON", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Systemowe\Pulpit\Portfolio\learney\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 14, 37
"d:\Systemowe\Pulpit\Portfolio\learney\components.json", "JSON", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 16
"d:\Systemowe\Pulpit\Portfolio\learney\next.config.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 14
"d:\Systemowe\Pulpit\Portfolio\learney\package.json", "JSON", 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 1, 80
"d:\Systemowe\Pulpit\Portfolio\learney\pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 8196, 0, 904, 9100
"d:\Systemowe\Pulpit\Portfolio\learney\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\Systemowe\Pulpit\Portfolio\learney\prisma\schema.prisma", "Prisma", 0, 0, 0, 0, 123, 0, 0, 0, 0, 0, 32, 155
"d:\Systemowe\Pulpit\Portfolio\learney\src\app\_trpc\client.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\Systemowe\Pulpit\Portfolio\learney\src\app\api\auth\[kindeAuth]\route.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\Systemowe\Pulpit\Portfolio\learney\src\app\api\chapter\getInfo\route.ts", "TypeScript", 0, 0, 89, 0, 0, 0, 0, 0, 0, 1, 7, 97
"d:\Systemowe\Pulpit\Portfolio\learney\src\app\api\course\createChapters\route.ts", "TypeScript", 0, 0, 69, 0, 0, 0, 0, 0, 0, 2, 19, 90
"d:\Systemowe\Pulpit\Portfolio\learney\src\app\api\message\route.ts", "TypeScript", 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 34, 143
"d:\Systemowe\Pulpit\Portfolio\learney\src\app\api\trpc\[trpc]\route.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"d:\Systemowe\Pulpit\Portfolio\learney\src\app\api\uploadthing\core.ts", "TypeScript", 0, 0, 90, 0, 0, 0, 0, 0, 0, 1, 30, 121
"d:\Systemowe\Pulpit\Portfolio\learney\src\app\api\uploadthing\route.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\Systemowe\Pulpit\Portfolio\learney\src\app\auth-callback\page.tsx", "TypeScript JSX", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 6, 41
"d:\Systemowe\Pulpit\Portfolio\learney\src\app\courses\[...slug]\page.tsx", "TypeScript JSX", 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 6, 101
"d:\Systemowe\Pulpit\Portfolio\learney\src\app\courses\create\[courseId]\page.tsx", "TypeScript JSX", 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 7, 54
"d:\Systemowe\Pulpit\Portfolio\learney\src\app\courses\create\page.tsx", "TypeScript JSX", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 3, 19
"d:\Systemowe\Pulpit\Portfolio\learney\src\app\courses\page.tsx", "TypeScript JSX", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 6, 23
"d:\Systemowe\Pulpit\Portfolio\learney\src\app\dashboard\[fileid]\page.tsx", "TypeScript JSX", 0, 0, 0, 39, 0, 0, 0, 0, 0, 2, 9, 50
"d:\Systemowe\Pulpit\Portfolio\learney\src\app\dashboard\page.tsx", "TypeScript JSX", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 6, 23
"d:\Systemowe\Pulpit\Portfolio\learney\src\app\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 74, 0, 0, 1, 10, 85
"d:\Systemowe\Pulpit\Portfolio\learney\src\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 5, 37
"d:\Systemowe\Pulpit\Portfolio\learney\src\app\page.tsx", "TypeScript JSX", 0, 0, 0, 188, 0, 0, 0, 0, 0, 3, 10, 201
"d:\Systemowe\Pulpit\Portfolio\learney\src\app\quizzes\create\page.tsx", "TypeScript JSX", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"d:\Systemowe\Pulpit\Portfolio\learney\src\app\quizzes\page.tsx", "TypeScript JSX", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"d:\Systemowe\Pulpit\Portfolio\learney\src\components\ChapterCard.tsx", "TypeScript JSX", 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 8, 91
"d:\Systemowe\Pulpit\Portfolio\learney\src\components\CommunityCards.tsx", "TypeScript JSX", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 5, 44
"d:\Systemowe\Pulpit\Portfolio\learney\src\components\ConfirmChapters.tsx", "TypeScript JSX", 0, 0, 0, 103, 0, 0, 0, 0, 0, 1, 3, 107
"d:\Systemowe\Pulpit\Portfolio\learney\src\components\CourseSideBar.tsx", "TypeScript JSX", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 3, 43
"d:\Systemowe\Pulpit\Portfolio\learney\src\components\Courses.tsx", "TypeScript JSX", 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 3, 64
